,order_id,date,customer_id,customer_name,age,gender,region,category,product,quantity,unit_price,discount_pct,payment_method,order_status,rating,year,month,day
2842,ORD02843,2022-02-07,CUST0572,Vijay,33,M,Central,Food,Biscuits,8,3126.17,20,Debit Card,Cancelled,1.9,2022,2,7
2843,ORD02844,2022-06-19,CUST1312,Pooja,22,F,South,Furniture,Bookshelf,1,4969.04,15,UPI,Delivered,3.1,2022,6,19
2844,ORD02845,2022-10-21,CUST0797,Rohan,19,M,Central,Sports,Yoga Mat,9,1128.44,15,Credit Card,Returned,3.8,2022,10,21
2846,ORD02847,2022-11-30,CUST0432,Arjun,22,M,West,Electronics,Tablet,5,2818.24,20,Debit Card,Cancelled,1.9,2022,11,30
2847,ORD02848,2022-03-15,CUST2724,Karan,53,M,Central,Furniture,Bookshelf,7,4218.97,15,Debit Card,Returned,5.0,2022,3,15
2848,ORD02849,2022-11-24,CUST1465,Suresh,50,M,Central,Electronics,Phone,9,4852.11,15,Cash,Returned,2.1,2022,11,24
2850,ORD02851,2022-10-16,CUST1060,Nisha,62,F,East,Food,Dal 2kg,2,987.25,15,Credit Card,Pending,2.7,2022,10,16
2851,ORD02852,2022-11-01,CUST2123,Kavya,52,F,South,Furniture,Sofa,3,1809.45,10,UPI,Returned,4.8,2022,11,1
2852,ORD02853,2022-04-17,CUST0460,Ritu,38,F,West,Sports,Cricket Bat,2,4091.04,10,Net Banking,Returned,1.4,2022,4,17
2853,ORD02854,2022-10-21,CUST0152,Dev,59,M,East,Toys,RC Car,2,1632.85,15,Credit Card,Cancelled,3.0,2022,10,21
2855,ORD02856,2022-07-31,CUST1001,Priya,37,F,Central,Clothing,Jacket,6,1915.27,5,UPI,Returned,3.3,2022,7,31
2858,ORD02859,2022-08-03,CUST1144,Pooja,48,F,Central,Furniture,Table,4,3181.35,0,Net Banking,Returned,2.4,2022,8,3
2859,ORD02860,2022-06-08,CUST1150,Asha,23,F,South,Electronics,Smartwatch,4,4594.13,20,Cash,Returned,3.3,2022,6,8
2860,ORD02861,2022-04-08,CUST1400,Nikhil,41,M,East,Clothing,Jacket,4,3441.76,10,Credit Card,Returned,2.4,2022,4,8
2861,ORD02862,2022-02-22,CUST0921,Asha,19,F,South,Sports,Football,2,1343.33,0,Cash,Returned,2.4,2022,2,22
2862,ORD02863,2022-11-12,CUST2240,Pooja,42,F,East,Clothing,Jacket,5,4361.84,0,Net Banking,Delivered,3.3,2022,11,12
2870,ORD02871,2022-03-23,CUST2995,Amit,44,M,North,Books,Novel,9,1595.38,15,Credit Card,Returned,,2022,3,23
2874,ORD02875,2022-06-22,CUST1418,Arjun,58,M,North,Toys,Doll,10,2603.26,0,Net Banking,Cancelled,3.6,2022,6,22
2877,ORD02878,2022-05-23,CUST1608,Karan,53,M,North,Toys,Doll,1,2569.6,10,Credit Card,Returned,2.8,2022,5,23
2878,ORD02879,2022-02-28,CUST2919,Ritu,26,F,East,Furniture,Table,6,4826.06,10,Debit Card,Delivered,1.9,2022,2,28
2880,ORD02881,2022-02-18,CUST2782,Suresh,32,M,West,Sports,Football,9,4803.4,10,Net Banking,Pending,4.7,2022,2,18
2881,ORD02882,2022-12-31,CUST0921,Kavya,19,F,Central,Sports,Dumbbells,10,1366.78,20,Net Banking,Pending,1.1,2022,12,31
2889,ORD02890,2022-02-22,CUST1751,Sneha,30,F,West,Books,Self-Help,7,2825.16,20,Net Banking,Delivered,4.0,2022,2,22
2890,ORD02891,2022-09-07,CUST0642,Nisha,57,F,Central,Clothing,Jacket,9,381.93,10,Cash,Returned,4.5,2022,9,7
2894,ORD02895,2022-12-11,CUST0955,Asha,57,F,West,Electronics,Smartwatch,5,1854.74,15,Credit Card,Delivered,4.8,2022,12,11
2896,ORD02897,2022-02-02,CUST0662,Arjun,24,M,Central,Food,Dal 2kg,10,3213.68,5,Debit Card,Cancelled,3.9,2022,2,2
2897,ORD02898,2022-11-24,CUST1681,Anita,33,F,East,Books,Self-Help,10,2961.56,15,Credit Card,Delivered,1.7,2022,11,24
2902,ORD02903,2022-01-05,CUST1114,Asha,20,F,West,Books,Novel,5,3761.19,0,UPI,Cancelled,,2022,1,5
2903,ORD02904,2022-02-11,CUST1992,Vijay,28,M,Central,Clothing,T-Shirt,1,3646.6,10,Net Banking,Returned,5.0,2022,2,11
2904,ORD02905,2022-10-01,CUST1989,Dev,54,M,Central,Sports,Badminton Set,5,811.65,5,Cash,Pending,3.4,2022,10,1
2905,ORD02906,2022-10-10,CUST2084,Rohan,47,M,Central,Furniture,Table,7,2068.93,10,Cash,Cancelled,4.8,2022,10,10
2906,ORD02907,2022-12-30,CUST1762,Rahul,62,M,West,Toys,RC Car,4,4870.9,5,Net Banking,Delivered,3.4,2022,12,30
2909,ORD02910,2022-04-16,CUST1335,Anita,18,F,West,Clothing,Saree,10,4964.77,15,UPI,Returned,1.9,2022,4,16
2913,ORD02914,2022-02-03,CUST0265,Nikhil,33,M,East,Books,Novel,6,3564.64,10,Credit Card,Cancelled,1.7,2022,2,3
2916,ORD02917,2022-09-03,CUST1364,Asha,46,F,South,Books,Novel,6,2792.4,0,Cash,Delivered,3.1,2022,9,3
2918,ORD02919,2022-01-09,CUST2552,Rahul,41,M,North,Furniture,Chair,6,3344.69,15,Debit Card,Cancelled,4.8,2022,1,9
2920,ORD02921,2022-11-18,CUST2655,Asha,29,F,East,Furniture,Bed Frame,3,4377.57,5,UPI,Delivered,1.1,2022,11,18
2921,ORD02922,2022-03-19,CUST2134,Anita,34,F,Central,Furniture,Bed Frame,8,3489.2,10,UPI,Returned,1.8,2022,3,19
2922,ORD02923,2022-12-09,CUST0271,Vijay,57,M,West,Furniture,Table,5,3837.89,10,Net Banking,Returned,1.1,2022,12,9
2923,ORD02924,2022-03-20,CUST1768,Suresh,39,M,South,Food,Dal 2kg,2,2013.72,15,Cash,Returned,4.8,2022,3,20
2924,ORD02925,2022-04-08,CUST1105,Ravi,51,M,North,Toys,Puzzle,1,3720.24,20,Cash,Cancelled,1.0,2022,4,8
2926,ORD02927,2022-09-13,CUST0059,Nikhil,51,M,North,Sports,Cricket Bat,8,3782.68,20,UPI,Delivered,,2022,9,13
2927,ORD02928,2022-08-10,CUST1393,Asha,20,F,Central,Electronics,Smartwatch,2,1375.47,5,Credit Card,Delivered,4.4,2022,8,10
2929,ORD02930,2022-05-21,CUST1191,Amit,45,M,West,Furniture,Bookshelf,10,1552.13,0,Net Banking,Pending,1.3,2022,5,21
2931,ORD02932,2022-06-02,CUST0918,Ritu,23,F,East,Electronics,Phone,7,72.27,20,Net Banking,Pending,,2022,6,2
2934,ORD02935,2022-10-05,CUST2264,Vijay,49,M,West,Toys,Doll,1,2385.23,5,UPI,Delivered,4.9,2022,10,5
2936,ORD02937,2022-05-25,CUST2173,Ravi,40,M,Central,Electronics,Smartwatch,4,1876.52,10,Debit Card,Delivered,2.9,2022,5,25
2937,ORD02938,2022-07-20,CUST2450,Rahul,44,M,South,Furniture,Bed Frame,7,1895.8,20,Net Banking,Cancelled,3.7,2022,7,20
2941,ORD02942,2022-07-10,CUST0507,Ravi,51,M,West,Books,Textbook,10,412.46,5,Net Banking,Cancelled,3.9,2022,7,10
2942,ORD02943,2022-02-22,CUST2712,Nikhil,21,M,East,Furniture,Bookshelf,5,2379.94,5,Credit Card,Returned,1.4,2022,2,22
2943,ORD02944,2022-03-28,CUST2915,Kavya,48,F,Central,Books,Self-Help,9,908.41,0,UPI,Returned,2.8,2022,3,28
2945,ORD02946,2022-06-18,CUST2135,Pooja,51,F,East,Food,Spices Pack,8,3388.54,0,Cash,Delivered,3.6,2022,6,18
2948,ORD02949,2022-09-05,CUST0616,Ritu,38,F,East,Books,Textbook,10,929.41,10,Net Banking,Delivered,3.6,2022,9,5
2951,ORD02952,2022-03-31,CUST2025,Pooja,49,F,Central,Clothing,Jeans,6,4808.1,0,Net Banking,Returned,2.8,2022,3,31
2952,ORD02953,2022-10-27,CUST2549,Kavya,49,F,West,Sports,Dumbbells,7,4422.54,10,Debit Card,Delivered,3.3,2022,10,27
2957,ORD02958,2022-09-20,CUST1342,Sneha,32,F,West,Books,Comics,2,941.2,5,Net Banking,Pending,4.8,2022,9,20
2959,ORD02960,2022-01-02,CUST2579,Rahul,61,M,South,Food,Biscuits,8,3016.36,10,Debit Card,Delivered,2.9,2022,1,2
2962,ORD02963,2022-11-30,CUST1556,Kavya,49,F,South,Furniture,Bed Frame,6,3589.89,10,UPI,Delivered,3.9,2022,11,30
2964,ORD02965,2022-07-29,CUST0969,Vijay,24,M,Central,Books,Self-Help,2,1338.53,20,Net Banking,Returned,3.7,2022,7,29
2966,ORD02967,2022-02-25,CUST1061,Nikhil,21,M,West,Clothing,Saree,3,3569.48,0,Debit Card,Cancelled,1.3,2022,2,25
2967,ORD02968,2022-07-20,CUST1952,Ravi,65,M,South,Toys,Board Game,2,497.51,10,Debit Card,Cancelled,3.8,2022,7,20
2969,ORD02970,2022-04-09,CUST0750,Anita,48,F,North,Clothing,Kurta,10,1951.69,20,Credit Card,Returned,3.8,2022,4,9
2973,ORD02974,2022-11-27,CUST1791,Suresh,30,M,North,Books,Comics,6,4420.4,20,Cash,Returned,3.7,2022,11,27
2975,ORD02976,2022-09-30,CUST1315,Pooja,20,F,West,Clothing,Saree,9,3337.73,15,Cash,Returned,3.7,2022,9,30
2977,ORD02978,2022-04-22,CUST2629,Karan,53,M,West,Sports,Cricket Bat,1,1634.3,0,Net Banking,Cancelled,,2022,4,22
2980,ORD02981,2022-12-20,CUST0896,Nikhil,49,M,East,Clothing,Kurta,2,3099.85,0,Cash,Cancelled,,2022,12,20
2982,ORD02983,2022-03-19,CUST1994,Priya,46,F,South,Sports,Yoga Mat,10,2163.98,20,Net Banking,Cancelled,4.8,2022,3,19
2983,ORD02984,2022-04-06,CUST2952,Rohan,32,M,West,Sports,Badminton Set,10,618.52,20,Net Banking,Pending,2.2,2022,4,6
2984,ORD02985,2022-11-03,CUST2786,Rohan,40,M,East,Furniture,Bed Frame,9,1782.87,15,Net Banking,Delivered,3.4,2022,11,3
2985,ORD02986,2022-09-28,CUST1599,Amit,22,M,West,Toys,Board Game,9,1303.17,10,Cash,Pending,3.9,2022,9,28
2986,ORD02987,2022-08-31,CUST0581,Karan,32,M,Central,Furniture,Sofa,8,2409.82,10,UPI,Cancelled,1.6,2022,8,31
2988,ORD02989,2022-03-03,CUST1175,Vijay,40,M,North,Toys,Board Game,1,3214.29,0,Net Banking,Returned,1.0,2022,3,3
2989,ORD02990,2022-03-10,CUST0758,Nisha,36,F,West,Sports,Badminton Set,5,210.46,20,Cash,Cancelled,2.1,2022,3,10
2992,ORD02993,2022-05-30,CUST0780,Nisha,47,F,West,Books,Self-Help,9,3275.62,20,Cash,Delivered,4.1,2022,5,30
2996,ORD02997,2022-12-26,CUST1880,Divya,46,F,East,Clothing,T-Shirt,6,3124.7,0,Cash,Cancelled,1.5,2022,12,26
2999,ORD03000,2022-12-24,CUST0778,Rohan,20,M,West,Food,Rice 5kg,8,3716.76,0,Debit Card,Cancelled,,2022,12,24
3001,ORD03002,2022-06-24,CUST0424,Arjun,48,M,South,Sports,Dumbbells,3,602.61,20,Credit Card,Cancelled,1.9,2022,6,24
3004,ORD03005,2022-11-23,CUST2741,Kavya,46,F,West,Books,Comics,5,547.39,0,Cash,Pending,4.0,2022,11,23
3008,ORD03009,2022-08-25,CUST1129,Karan,46,M,East,Books,Comics,7,4847.57,0,Credit Card,Delivered,1.1,2022,8,25
3011,ORD03012,2022-11-08,CUST0399,Dev,49,M,North,Clothing,Saree,5,2461.83,5,Debit Card,Returned,4.1,2022,11,8
3013,ORD03014,2022-01-19,CUST2967,Ravi,53,M,Central,Food,Cooking Oil,10,4540.55,20,Net Banking,Cancelled,4.9,2022,1,19
3014,ORD03015,2022-04-23,CUST2374,Karan,50,M,West,Electronics,Tablet,1,3452.75,15,Cash,Delivered,1.2,2022,4,23
3016,ORD03017,2022-09-16,CUST1578,Vijay,27,M,East,Sports,Cricket Bat,6,320.51,15,Net Banking,Returned,4.7,2022,9,16
3018,ORD03019,2022-03-03,CUST2527,Ritu,46,F,North,Food,Dal 2kg,5,1851.11,20,Net Banking,Returned,3.6,2022,3,3
3019,ORD03020,2022-02-07,CUST0338,Amit,34,M,East,Toys,RC Car,8,515.54,15,Net Banking,Delivered,1.7,2022,2,7
3020,ORD03021,2022-07-09,CUST1414,Nisha,61,F,Central,Electronics,Tablet,5,3842.0,10,Cash,Cancelled,2.1,2022,7,9
3021,ORD03022,2022-08-13,CUST2285,Nisha,20,F,East,Food,Rice 5kg,10,4000.9,0,Debit Card,Cancelled,4.3,2022,8,13
3023,ORD03024,2022-11-15,CUST1107,Divya,18,F,South,Electronics,Headphones,5,3316.48,0,Net Banking,Delivered,4.4,2022,11,15
3031,ORD03032,2022-08-03,CUST0310,Karan,43,M,North,Clothing,Saree,7,4492.94,20,Cash,Delivered,1.1,2022,8,3
3032,ORD03033,2022-08-01,CUST0776,Pooja,30,F,North,Sports,Cricket Bat,6,1254.46,0,UPI,Delivered,3.1,2022,8,1
3033,ORD03034,2022-06-11,CUST0239,Amit,25,M,Central,Furniture,Bookshelf,5,2725.73,0,Cash,Pending,1.5,2022,6,11
3035,ORD03036,2022-01-13,CUST0966,Ritu,63,F,West,Toys,LEGO Set,1,3385.06,15,UPI,Delivered,4.4,2022,1,13
3036,ORD03037,2022-05-27,CUST2262,Divya,58,F,Central,Electronics,Phone,7,4568.6,5,Cash,Returned,4.8,2022,5,27
3040,ORD03041,2022-08-20,CUST2153,Asha,61,F,West,Toys,Doll,2,1490.01,15,Credit Card,Pending,1.8,2022,8,20
3041,ORD03042,2022-01-27,CUST2724,Rohan,43,M,South,Electronics,Phone,10,99.56,5,Net Banking,Delivered,2.4,2022,1,27
3042,ORD03043,2022-12-01,CUST2144,Priya,63,F,Central,Books,Textbook,5,2487.57,20,Debit Card,Returned,2.8,2022,12,1
3043,ORD03044,2022-06-28,CUST0849,Suresh,29,M,South,Clothing,Saree,4,2688.1,10,Debit Card,Cancelled,4.1,2022,6,28
3048,ORD03049,2022-08-31,CUST2758,Karan,44,M,Central,Sports,Dumbbells,1,1449.63,5,Net Banking,Pending,4.0,2022,8,31
3050,ORD03051,2022-03-21,CUST0535,Vijay,42,M,West,Toys,Puzzle,1,3448.55,5,Cash,Returned,4.0,2022,3,21
3051,ORD03052,2022-07-14,CUST0352,Nikhil,62,M,West,Electronics,Tablet,1,4525.49,5,Credit Card,Pending,1.3,2022,7,14
3054,ORD03055,2022-06-03,CUST2160,Sneha,42,F,West,Food,Rice 5kg,4,3278.19,0,Credit Card,Delivered,4.2,2022,6,3
3055,ORD03056,2022-06-21,CUST1826,Divya,46,F,West,Food,Dal 2kg,1,884.23,20,UPI,Delivered,2.5,2022,6,21
3056,ORD03057,2022-07-16,CUST2795,Ritu,57,F,Central,Electronics,Tablet,8,472.98,10,Net Banking,Pending,3.9,2022,7,16
3058,ORD03059,2022-06-16,CUST1200,Arjun,62,M,Central,Electronics,Tablet,2,513.4,10,UPI,Pending,1.5,2022,6,16
3064,ORD03065,2022-10-25,CUST1726,Priya,35,F,South,Books,Self-Help,9,4108.53,5,UPI,Returned,,2022,10,25
3065,ORD03066,2022-11-21,CUST1788,Anita,27,F,East,Toys,LEGO Set,5,4398.75,15,Debit Card,Returned,3.6,2022,11,21
3066,ORD03067,2022-05-10,CUST1732,Suresh,50,M,East,Toys,LEGO Set,7,4478.05,10,Net Banking,Delivered,4.2,2022,5,10
3068,ORD03069,2022-04-11,CUST1108,Arjun,55,M,East,Food,Dal 2kg,5,1657.52,5,Credit Card,Cancelled,4.0,2022,4,11
3071,ORD03072,2022-04-20,CUST1140,Amit,58,M,East,Sports,Dumbbells,4,4920.43,10,Net Banking,Pending,2.3,2022,4,20
3073,ORD03074,2022-11-24,CUST0017,Karan,54,M,South,Toys,Doll,2,3345.52,15,Net Banking,Delivered,,2022,11,24
3075,ORD03076,2022-06-06,CUST1831,Nisha,64,F,South,Electronics,Smartwatch,6,2441.31,20,Net Banking,Cancelled,3.1,2022,6,6
3076,ORD03077,2022-10-22,CUST2603,Nikhil,24,M,North,Clothing,Kurta,10,3193.77,5,Debit Card,Pending,,2022,10,22
3082,ORD03083,2022-05-27,CUST2714,Asha,39,F,Central,Furniture,Chair,10,3559.1,10,Cash,Pending,4.9,2022,5,27
3084,ORD03085,2022-08-16,CUST1730,Arjun,61,M,North,Clothing,Saree,10,1773.77,5,Cash,Returned,3.5,2022,8,16
3085,ORD03086,2022-09-03,CUST0121,Suresh,48,M,East,Food,Rice 5kg,2,3315.54,0,Cash,Pending,1.2,2022,9,3
3088,ORD03089,2022-12-28,CUST2127,Rohan,31,M,West,Toys,LEGO Set,4,2426.19,20,Debit Card,Returned,2.8,2022,12,28
3095,ORD03096,2022-08-10,CUST0067,Karan,42,M,West,Furniture,Sofa,2,1639.58,5,Net Banking,Cancelled,2.8,2022,8,10
3097,ORD03098,2022-08-24,CUST1911,Arjun,18,M,South,Clothing,T-Shirt,4,1315.39,0,Net Banking,Returned,3.5,2022,8,24
3098,ORD03099,2022-01-15,CUST2120,Nikhil,26,M,North,Electronics,Smartwatch,10,728.78,0,Net Banking,Returned,4.7,2022,1,15
3099,ORD03100,2022-05-11,CUST1959,Nikhil,33,M,South,Clothing,Jacket,8,4870.18,10,UPI,Pending,3.2,2022,5,11
3100,ORD03101,2022-12-10,CUST1807,Nikhil,57,M,North,Food,Cooking Oil,10,3319.82,0,Cash,Delivered,1.9,2022,12,10
3103,ORD03104,2022-03-28,CUST2829,Meera,60,F,East,Clothing,T-Shirt,6,1338.48,10,Net Banking,Cancelled,4.7,2022,3,28
3106,ORD03107,2022-01-14,CUST1204,Divya,20,F,North,Food,Spices Pack,9,1324.05,0,UPI,Cancelled,,2022,1,14
3107,ORD03108,2022-10-30,CUST1806,Nisha,40,F,South,Food,Biscuits,8,1955.97,5,UPI,Cancelled,3.1,2022,10,30
3109,ORD03110,2022-06-24,CUST1574,Ritu,40,F,South,Food,Rice 5kg,2,4939.32,0,UPI,Delivered,1.4,2022,6,24
3110,ORD03111,2022-04-22,CUST0290,Karan,49,M,East,Sports,Badminton Set,10,161.35,5,Credit Card,Cancelled,1.1,2022,4,22
3112,ORD03113,2022-04-13,CUST1199,Pooja,35,F,West,Electronics,Phone,6,1571.08,15,Debit Card,Cancelled,2.0,2022,4,13
3113,ORD03114,2022-09-15,CUST2721,Nisha,52,F,South,Toys,Board Game,10,4517.69,5,Cash,Delivered,1.3,2022,9,15
3115,ORD03116,2022-11-10,CUST0021,Ravi,54,M,East,Toys,RC Car,9,4551.97,20,Net Banking,Pending,,2022,11,10
3118,ORD03119,2022-05-10,CUST1256,Anita,46,F,West,Sports,Cricket Bat,9,2300.16,15,Net Banking,Cancelled,3.3,2022,5,10
3122,ORD03123,2022-02-26,CUST0075,Ravi,62,M,North,Electronics,Tablet,8,4237.06,15,UPI,Pending,2.5,2022,2,26
3124,ORD03125,2022-12-11,CUST1599,Arjun,61,M,West,Food,Spices Pack,9,1381.98,10,Cash,Returned,3.6,2022,12,11
3125,ORD03126,2022-12-16,CUST2810,Meera,46,F,South,Clothing,T-Shirt,6,180.6,20,Net Banking,Cancelled,4.1,2022,12,16
3128,ORD03129,2022-02-27,CUST1631,Rohan,24,M,West,Toys,RC Car,4,3475.22,0,UPI,Returned,3.4,2022,2,27
3130,ORD03131,2022-06-27,CUST0148,Nikhil,24,M,West,Sports,Badminton Set,1,4279.92,15,Debit Card,Delivered,1.7,2022,6,27
3136,ORD03137,2022-07-13,CUST1973,Ritu,40,F,East,Food,Cooking Oil,4,2891.09,10,Cash,Pending,1.8,2022,7,13
3138,ORD03139,2022-06-12,CUST1352,Amit,40,M,South,Furniture,Bed Frame,4,4079.4,15,Cash,Cancelled,4.8,2022,6,12
3141,ORD03142,2022-03-27,CUST0074,Pooja,46,F,West,Food,Dal 2kg,9,1948.57,20,Cash,Cancelled,,2022,3,27
3142,ORD03143,2022-08-14,CUST2105,Nisha,21,F,South,Clothing,Jacket,2,3731.1,15,Credit Card,Pending,,2022,8,14
3143,ORD03144,2022-03-12,CUST1147,Ravi,33,M,South,Electronics,Laptop,8,4038.08,20,Net Banking,Delivered,4.1,2022,3,12
3149,ORD03150,2022-06-25,CUST0349,Meera,35,F,South,Toys,Board Game,7,4636.37,0,UPI,Delivered,2.3,2022,6,25
3150,ORD03151,2022-02-03,CUST0340,Pooja,38,F,South,Electronics,Laptop,9,3570.54,0,Credit Card,Delivered,2.4,2022,2,3
3154,ORD03155,2022-11-04,CUST0398,Dev,42,M,North,Clothing,Saree,8,591.38,0,UPI,Delivered,4.3,2022,11,4
3156,ORD03157,2022-09-24,CUST2023,Meera,58,F,North,Electronics,Tablet,5,3745.67,20,Debit Card,Delivered,4.0,2022,9,24
3159,ORD03160,2022-08-14,CUST0632,Priya,60,F,South,Electronics,Headphones,9,435.15,10,Debit Card,Cancelled,3.3,2022,8,14
3162,ORD03163,2022-02-16,CUST2819,Divya,23,F,Central,Electronics,Smartwatch,7,4608.84,15,Cash,Returned,3.0,2022,2,16
3163,ORD03164,2022-06-04,CUST0724,Ravi,65,M,East,Sports,Cricket Bat,5,1066.24,20,Debit Card,Cancelled,1.6,2022,6,4
3170,ORD03171,2022-01-19,CUST1897,Nisha,31,F,Central,Electronics,Smartwatch,1,1966.69,10,Net Banking,Delivered,3.2,2022,1,19
3173,ORD03174,2022-10-19,CUST0209,Ritu,58,F,East,Toys,Doll,8,1896.17,0,Debit Card,Returned,4.5,2022,10,19
3175,ORD03176,2022-05-02,CUST1343,Rahul,49,M,East,Books,Novel,6,4609.6,0,UPI,Cancelled,3.2,2022,5,2
3176,ORD03177,2022-11-11,CUST0656,Dev,50,M,South,Sports,Cricket Bat,9,1449.61,15,Debit Card,Pending,,2022,11,11
3179,ORD03180,2022-04-05,CUST0091,Dev,63,M,North,Books,Comics,2,2588.77,10,Net Banking,Pending,1.4,2022,4,5
3185,ORD03186,2022-10-28,CUST2676,Priya,24,F,Central,Toys,Board Game,10,1632.09,0,Net Banking,Cancelled,1.9,2022,10,28
3186,ORD03187,2022-06-09,CUST0910,Kavya,62,F,Central,Clothing,T-Shirt,3,1032.45,10,Debit Card,Returned,1.8,2022,6,9
3189,ORD03190,2022-07-18,CUST2154,Kavya,27,F,South,Furniture,Bed Frame,1,1816.77,15,Cash,Delivered,4.4,2022,7,18
3191,ORD03192,2022-07-12,CUST2809,Amit,29,M,Central,Electronics,Smartwatch,9,3318.13,15,Credit Card,Cancelled,3.1,2022,7,12
3193,ORD03194,2022-01-24,CUST2776,Karan,46,M,Central,Clothing,Kurta,5,1918.29,20,Cash,Returned,4.1,2022,1,24
3195,ORD03196,2022-09-22,CUST1868,Asha,53,F,Central,Books,Novel,10,2753.04,10,Credit Card,Pending,3.1,2022,9,22
3199,ORD03200,2022-08-29,CUST2927,Ravi,22,M,East,Electronics,Tablet,6,2458.73,0,Cash,Delivered,2.8,2022,8,29
3200,ORD03201,2022-10-10,CUST0805,Nisha,25,F,West,Furniture,Table,5,2428.35,20,Debit Card,Returned,2.0,2022,10,10
3203,ORD03204,2022-06-03,CUST1729,Nisha,43,F,West,Books,Textbook,6,4519.65,10,Cash,Returned,3.2,2022,6,3
3204,ORD03205,2022-02-14,CUST1288,Arjun,34,M,North,Clothing,Jeans,7,2387.29,10,Cash,Returned,1.1,2022,2,14
3206,ORD03207,2022-07-11,CUST0356,Vijay,21,M,South,Food,Spices Pack,7,3263.46,15,UPI,Cancelled,4.6,2022,7,11
3207,ORD03208,2022-07-25,CUST2892,Pooja,37,F,Central,Food,Biscuits,1,2819.82,10,Cash,Cancelled,4.7,2022,7,25
3208,ORD03209,2022-02-23,CUST1753,Arjun,44,M,East,Clothing,Jacket,1,3255.26,0,Net Banking,Delivered,1.6,2022,2,23
3209,ORD03210,2022-01-07,CUST0436,Anita,45,F,West,Food,Biscuits,1,2854.5,0,UPI,Pending,,2022,1,7
3215,ORD03216,2022-03-23,CUST1685,Kavya,18,F,South,Food,Dal 2kg,8,3375.96,10,Debit Card,Pending,,2022,3,23
3217,ORD03218,2022-06-18,CUST0406,Anita,43,F,East,Books,Comics,6,860.07,20,Cash,Delivered,1.2,2022,6,18
3219,ORD03220,2022-10-30,CUST1862,Asha,26,F,East,Furniture,Bookshelf,5,4396.87,0,Net Banking,Pending,4.6,2022,10,30
3220,ORD03221,2022-04-16,CUST1846,Sneha,58,F,North,Toys,Board Game,4,3324.41,10,Credit Card,Delivered,1.0,2022,4,16
3222,ORD03223,2022-02-21,CUST0738,Nikhil,36,M,Central,Food,Biscuits,6,4804.01,15,Debit Card,Delivered,4.5,2022,2,21
3223,ORD03224,2022-04-01,CUST2166,Karan,65,M,East,Books,Comics,8,2840.58,20,Cash,Pending,4.4,2022,4,1
3224,ORD03225,2022-10-21,CUST0229,Divya,63,F,West,Food,Rice 5kg,3,4969.81,5,Credit Card,Delivered,2.1,2022,10,21
3225,ORD03226,2022-09-02,CUST2687,Kavya,35,F,East,Electronics,Phone,10,1677.45,10,Debit Card,Delivered,2.8,2022,9,2
3229,ORD03230,2022-09-19,CUST2103,Pooja,57,F,South,Clothing,T-Shirt,8,3051.52,0,Net Banking,Cancelled,1.2,2022,9,19
3230,ORD03231,2022-07-19,CUST2127,Nisha,37,F,East,Clothing,Jeans,10,2965.14,15,UPI,Pending,4.2,2022,7,19
3232,ORD03233,2022-06-19,CUST2226,Nisha,65,F,West,Electronics,Tablet,10,3631.32,10,Credit Card,Pending,2.1,2022,6,19
3236,ORD03237,2022-07-17,CUST2868,Karan,18,M,East,Clothing,Kurta,1,4379.21,15,Cash,Cancelled,,2022,7,17
3238,ORD03239,2022-03-20,CUST2738,Asha,34,F,South,Books,Cookbook,8,1620.43,0,Debit Card,Cancelled,2.4,2022,3,20
3239,ORD03240,2022-11-14,CUST2680,Rahul,56,M,East,Furniture,Sofa,8,3032.83,0,Credit Card,Cancelled,2.2,2022,11,14
3242,ORD03243,2022-01-20,CUST1122,Rahul,35,M,East,Clothing,T-Shirt,9,2201.08,5,Net Banking,Cancelled,3.3,2022,1,20
3243,ORD03244,2022-04-05,CUST1108,Rohan,33,M,East,Furniture,Bookshelf,8,3447.17,0,Credit Card,Delivered,1.2,2022,4,5
3247,ORD03248,2022-06-18,CUST2011,Kavya,63,F,Central,Toys,LEGO Set,6,1059.01,10,Credit Card,Cancelled,1.0,2022,6,18
3248,ORD03249,2022-04-25,CUST0457,Rohan,21,M,West,Clothing,T-Shirt,10,4025.28,15,Net Banking,Delivered,1.2,2022,4,25
3249,ORD03250,2022-03-01,CUST0486,Ritu,25,F,West,Electronics,Phone,7,4244.45,15,Debit Card,Cancelled,1.2,2022,3,1
3251,ORD03252,2022-08-13,CUST2743,Ritu,49,F,Central,Furniture,Chair,3,790.39,20,Debit Card,Pending,,2022,8,13
3252,ORD03253,2022-06-06,CUST1427,Pooja,57,F,West,Toys,Board Game,9,2566.78,20,Debit Card,Cancelled,1.9,2022,6,6
3253,ORD03254,2022-01-13,CUST2335,Sneha,63,F,West,Furniture,Sofa,9,977.61,5,Credit Card,Pending,4.8,2022,1,13
3254,ORD03255,2022-04-29,CUST0886,Pooja,42,F,West,Toys,RC Car,10,4940.55,0,Cash,Delivered,1.8,2022,4,29
3255,ORD03256,2022-01-19,CUST0748,Karan,36,M,West,Furniture,Bookshelf,9,4836.96,10,UPI,Delivered,4.6,2022,1,19
3257,ORD03258,2022-03-06,CUST0306,Arjun,63,M,South,Sports,Cricket Bat,4,634.9,20,Net Banking,Delivered,3.1,2022,3,6
3258,ORD03259,2022-10-16,CUST1422,Ravi,61,M,Central,Furniture,Bed Frame,1,1554.13,10,Credit Card,Pending,1.2,2022,10,16
